id,name,score,timestamp,category
1,Twister (1996),2,874833878,Action
2,Return of the Jedi (1983),5,885853415,Action
3,Wings of Desire (1987),4,893277702,Comedy
4,Batman (1989),3,881108684,Action
5,"Adventures of Priscilla, Queen of the Desert, The (1994)",3,879375537,Comedy
6,"Adventures of Priscilla, Queen of the Desert, The (1994)",5,891383835,Comedy
7,Young Frankenstein (1974),4,877531942,Comedy
8,It's a Wonderful Life (1946),4,878090499,Drama
9,Die Hard (1988),4,884304936,Action
10,"Quiet Man, The (1952)",4,891384754,Comedy
11,"Shining, The (1980)",5,886122352,Horror
12,Amistad (1997),5,883815120,Drama
13,Pump Up the Volume (1990),3,880245029,Drama
14,Homeward Bound: The Incredible Journey (1993),3,878092059,Adventure
15,"Postino, Il (1994)",2,883955745,Drama
16,Mary Poppins (1964),3,883698454,Children's
17,Sabrina (1954),4,877886846,Comedy
18,"City of Lost Children, The (1995)",4,879467295,Adventure
19,"Birds, The (1963)",3,880130193,Horror
20,Contact (1997),3,891347949,Drama
21,Conspiracy Theory (1997),4,892428688,Action
22,Mars Attacks! (1996),2,892838559,Action
23,"Philadelphia Story, The (1940)",4,879454628,Comedy
24,"Brady Bunch Movie, The (1995)",4,882078040,Comedy
25,Kolya (1996),3,875747190,Comedy
26,Contact (1997),4,883601089,Drama
27,Angels in the Outfield (1994),4,880308578,Children's
28,"Apostle, The (1997)",4,891374868,Drama
29,"20,000 Leagues Under the Sea (1954)",3,892334609,Adventure
30,"Fish Called Wanda, A (1988)",5,892430369,Comedy
31,To Kill a Mockingbird (1962),3,879873020,Drama
32,Dumbo (1941),3,875308843,Animation
33,"Shawshank Redemption, The (1994)",5,877720297,Drama
34,Afterglow (1997),1,892440172,Drama
35,Citizen Kane (1941),5,879467959,Drama
36,L.A. Confidential (1997),4,891560253,Crime
37,"Rock, The (1996)",2,888465972,Action
38,"Graduate, The (1967)",5,879528710,Drama
39,Apt Pupil (1998),5,886432749,Drama
40,Toy Story (1995),5,875334088,Animation
41,Courage Under Fire (1996),4,880434463,Drama
42,"Sting, The (1973)",4,879517412,Comedy
43,North by Northwest (1959),4,891438875,Comedy
44,"Smile Like Yours, A (1997)",1,878961586,Comedy
45,Devil in a Blue Dress (1995),3,888906655,Crime
46,Fallen (1998),3,886977926,Action
47,Mary Poppins (1964),5,891299514,Children's
48,Liar Liar (1997),3,886121516,Comedy
49,"Godfather: Part II, The (1974)",4,889909024,Action
50,Die Hard: With a Vengeance (1995),3,879362356,Action
51,Little Women (1994),3,880036783,Drama
52,George of the Jungle (1997),2,891382392,Children's
53,Ransom (1996),3,888203053,Drama
54,Shiloh (1997),3,891352136,Children's
55,That Thing You Do! (1996),4,882824291,Comedy
56,Return of the Jedi (1983),4,884125629,Action
57,Dante's Peak (1997),1,879633567,Action
58,Faithful (1996),5,879297545,Comedy
59,"Philadelphia Story, The (1940)",4,891544052,Comedy
60,Bringing Up Baby (1938),4,891352134,Comedy
61,"Thieves (Voleurs, Les) (1996)",3,892333865,Crime
62,Singin' in the Rain (1952),2,891448850,Musical
63,Alien 3 (1992),4,884922831,Action
